Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2023-06-12,3035.113525390625,3121.2466424799622,3017.0457591628674,3073.4480721510195,11785076,2023-06-12
2023-06-19,3097.60595703125,3147.0118288330586,3057.7824599196765,3072.2286762657536,7291733,2023-06-19
2023-06-26,3180.334716796875,3187.7985956840507,3055.85647858172,3086.675075277155,7090623,2023-06-26
2023-07-03,3206.337646484375,3232.9667439707105,3148.071241855013,3191.939631539422,8434517,2023-07-03
2023-07-10,3384.892822265625,3394.7164373790292,3130.1099107667173,3202.003819305855,14924090,2023-07-10
2023-07-17,3243.946044921875,3418.841427765027,3235.037544942496,3380.414586769728,13234315,2023-07-17
2023-07-24,3239.925048828125,3303.122799741672,3216.364860149197,3264.644128539308,8321515,2023-07-24
2023-07-31,3325.041748046875,3351.5470209002183,3245.2359709720627,3248.6155199703776,10889588,2023-07-31
2023-08-07,3330.111083984375,3369.8448302032543,3296.5086638135926,3335.083754662162,8059378,2023-08-07
2023-08-14,3251.22314453125,3346.7194595103324,3240.9878435794662,3322.290098362136,6888860,2023-08-14
2023-08-21,3264.933837890625,3295.5911731924575,3234.9523651957556,3258.8506029507275,6238564,2023-08-21
2023-08-28,3262.90625,3299.791566414964,3228.579640688566,3277.196961564685,7865804,2023-08-28
2023-09-04,3323.448486328125,3345.75360465461,3254.071312765698,3261.747669992287,8049001,2023-09-04
2023-09-11,3474.466064453125,3483.204659653157,3326.441772397271,3342.8567245397253,13572167,2023-09-11
2023-09-18,3479.632080078125,3508.6962978174934,3406.5856315652195,3456.8444038044936,7038305,2023-09-18
2023-09-25,3407.16455078125,3495.4189572291043,3384.9077613782433,3478.521213651339,8505518,2023-09-25
2023-10-02,3496.77099609375,3509.85472587106,3357.6302765094024,3407.164856417102,8802745,2023-10-02
2023-10-09,3447.961181640625,3552.3891623402988,3403.6889908261896,3519.6075807678735,15639277,2023-10-09
2023-10-16,3374.286376953125,3451.6296230755697,3325.524316128363,3443.2774039822193,7747170,2023-10-16
2023-10-23,3244.00048828125,3367.9152194919584,3223.7191791535906,3362.155167928054,5718131,2023-10-23
2023-10-30,3243.9521484375,3290.517077166917,3205.3256965282912,3243.0809674931365,6122240,2023-10-30
2023-11-06,3227.059326171875,3295.5028126891657,3216.3137363680903,3267.283260695494,6734804,2023-11-06
2023-11-13,3390.66552734375,3416.707126977329,3220.815248394417,3248.8896824802114,9064068,2023-11-13
2023-11-20,3346.7626953125,3430.889085400983,3342.7934570794564,3379.822663489329,9800445,2023-11-20
