ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,diwali,diwali_lower,diwali_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-05-18,224.75600879619006,109.61695430327705,289.1614816600987,224.75600879619006,224.75600879619006,-24.71972712373163,-24.71972712373163,-24.71972712373163,0.0,0.0,0.0,0.0,0.0,0.0,-3.2277737327960785,-3.2277737327960785,-3.2277737327960785,-21.49195339093555,-21.49195339093555,-21.49195339093555,0.0,0.0,0.0,200.03628167245841
2007-05-21,224.31433115898088,110.94403908159472,290.6521221770558,224.31433115898088,224.31433115898088,-23.450819032367516,-23.450819032367516,-23.450819032367516,0.0,0.0,0.0,0.0,0.0,0.0,-2.3117504896436087,-2.3117504896436087,-2.3117504896436087,-21.139068542723905,-21.139068542723905,-21.139068542723905,0.0,0.0,0.0,200.86351212661336
2007-05-22,224.16710527991117,107.74909643508639,286.2680281876704,224.16710527991117,224.16710527991117,-23.78971308519545,-23.78971308519545,-23.78971308519545,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564814653,-2.796451564814653,-2.796451564814653,-20.993261520380795,-20.993261520380795,-20.993261520380795,0.0,0.0,0.0,200.37739219471572
2007-05-23,224.01987940084146,114.6790731888013,287.1857855068857,224.01987940084146,224.01987940084146,-23.224067972597275,-23.224067972597275,-23.224067972597275,0.0,0.0,0.0,0.0,0.0,0.0,-2.3999232240740866,-2.3999232240740866,-2.3999232240740866,-20.824144748523185,-20.824144748523185,-20.824144748523185,0.0,0.0,0.0,200.79581142824418
2007-05-24,223.87265352177175,111.30378476319498,290.258145601852,223.87265352177175,223.87265352177175,-22.069516654394768,-22.069516654394768,-22.069516654394768,0.0,0.0,0.0,0.0,0.0,0.0,-1.443788427354961,-1.443788427354961,-1.443788427354961,-20.625728227039808,-20.625728227039808,-20.625728227039808,0.0,0.0,0.0,201.803136867377
2007-05-25,223.72542764270207,110.91788409079847,286.97523439335424,223.72542764270207,223.72542764270207,-23.61984924098528,-23.61984924098528,-23.61984924098528,0.0,0.0,0.0,0.0,0.0,0.0,-3.2277737328016394,-3.2277737328016394,-3.2277737328016394,-20.39207550818364,-20.39207550818364,-20.39207550818364,0.0,0.0,0.0,200.1055784017168
2007-05-28,223.28375000549295,104.58444162124154,282.6467495825228,223.28375000549295,223.28375000549295,-21.73850617205083,-21.73850617205083,-21.73850617205083,0.0,0.0,0.0,0.0,0.0,0.0,-2.3117504896508816,-2.3117504896508816,-2.3117504896508816,-19.426755682399946,-19.426755682399946,-19.426755682399946,0.0,0.0,0.0,201.54524383344213
2007-05-29,223.13652412642324,105.96374701081254,292.2036063082245,223.13652412642324,223.13652412642324,-21.799607194417884,-21.799607194417884,-21.799607194417884,0.0,0.0,0.0,0.0,0.0,0.0,-2.796451564811335,-2.796451564811335,-2.796451564811335,-19.003155629606553,-19.003155629606553,-19.003155629606553,0.0,0.0,0.0,201.33691693200535
2007-05-30,222.98929824735353,114.16236741568375,283.7991132679172,222.98929824735353,222.98929824735353,-20.92449577597855,-20.92449577597855,-20.92449577597855,0.0,0.0,0.0,0.0,0.0,0.0,-2.399923224074025,-2.399923224074025,-2.399923224074025,-18.524572551904527,-18.524572551904527,-18.524572551904527,0.0,0.0,0.0,202.06480247137497
2007-05-31,222.84207236828382,116.86989861824564,297.61845290748573,222.84207236828382,222.84207236828382,-19.434428007593084,-19.434428007593084,-19.434428007593084,0.0,0.0,0.0,0.0,0.0,0.0,-1.4437884273499666,-1.4437884273499666,-1.4437884273499666,-17.990639580243116,-17.990639580243116,-17.990639580243116,0.0,0.0,0.0,203.40764436069074
2007-06-01,222.69484648921406,110.65339008377178,293.3710379583963,222.69484648921406,222.69484648921406,-20.630344446698007,-20.630344446698007,-20.630344446698007,0.0,0.0,0.0,0.0,0.0,0.0,-3.2277737328023375,-3.2277737328023375,-3.2277737328023375,-17.402570713895674,-17.402570713895674,-17.402570713895674,0.0,0.0,0.0,202.06450204251604
